,MVO,Decision Tree,Decision Tree (tuned),Random Forest,Random Forest (tuned),Gradient boosting,Gradient boosting (tuned)
2020-06-10,0.001467811915109778,-0.001547455069313768,-0.006070373455977713,-0.002249869481405002,-0.005095182047237583,-0.006079476771068647,-0.004973956351779035
2020-06-11,-0.014752468565085282,-0.03215342976047919,-0.03655419393583272,-0.032792722979162754,-0.03500445143700802,-0.0385852426812609,-0.03479128489962436
2020-06-12,0.003939530589869473,0.008039131264359631,0.01070264788325656,0.008453554723566261,0.010165915703588784,0.011596018872210151,0.010173711257431429
2020-06-15,0.005002872170560153,0.0038281828837249845,0.004827933402637357,0.0038958312514774628,0.004491612407421549,0.004521758991188858,0.0043540724723167765
2020-06-16,0.0028720328477557897,0.008154203796714768,0.009006664617742442,0.008351994308310856,0.008645485823682525,0.009134751159502632,0.008453701314222187
2020-06-17,-0.0017619570604878688,-0.0016978201527363792,-0.0031371441418373723,-0.0018718550998886082,-0.002859150253142005,-0.003032536076788532,-0.0027703509741784553
2020-06-18,0.0009754435808423008,-0.0011506504738874187,-0.0009943043389039788,-0.0011986001833389982,-0.0010920606414189585,-0.0011985275385559095,-0.0010910324332134552
2020-06-19,-0.0010213722262264486,-0.0025982818452637635,-0.0029485519343057116,-0.002691250590619805,-0.002717009115015379,-0.0028830172451855015,-0.0026498298667462727
2020-06-22,0.0013843019232924179,0.005008548799897749,0.003500839212931329,0.004950221877458053,0.0038077559455095885,0.004049229172559343,0.0038192322373110273
2020-06-23,0.0007619102197240993,0.0035304275642012366,0.0029191455069058855,0.0034989986772721764,0.0031130855044763203,0.003574141149495556,0.0031834973282723264
2020-06-24,-0.006315509133208696,-0.01335621284811642,-0.015002340358752544,-0.013676927604176464,-0.014204162105403208,-0.015420212190504889,-0.014020839128144124
2020-06-25,0.0036740472310159175,0.004725875367454849,0.00546033620576868,0.004901442301709221,0.004991515485339498,0.005167008936035622,0.004843221084039228
2020-06-26,-0.004382093559261828,-0.008513264712228387,-0.010188468157234598,-0.008791565412214226,-0.009415722287420993,-0.010194906677428043,-0.009235293914388345
2020-06-29,0.0039965114500531826,0.005679559234108327,0.008402912224219699,0.006129892566739809,0.007671297317915772,0.008587169238807998,0.007564471042377417
2020-06-30,0.004021322232437051,0.0040221904912498985,0.004961776386003015,0.004043497153627536,0.004546413910016266,0.004537386927713414,0.004374664736286245
2020-07-01,0.0017178813988020973,0.003702966122523766,0.001433587765488343,0.0032466466400203472,0.001612046264997645,0.0027645888580807737,0.0015209052115544206
2020-07-02,0.0018169329083665565,0.0054446341090976565,0.005139617244162531,0.005392090072669611,0.005210089722095606,0.005509185411122769,0.0051441066305816675
2020-07-06,0.0034657376864438215,0.011539781972514162,0.010621338218405626,0.011497537766961437,0.01078083059046566,0.011753291168254984,0.01068838661980763
2020-07-07,-0.0010940911743596194,-0.005482457975880708,-0.00789458648889588,-0.005800847171019001,-0.00781638333234837,-0.007131976879968065,-0.007924683673528877
2020-07-08,0.0015715946777694896,0.005358478408301532,0.0049163241302192,0.005246852009236738,0.005005958891576186,0.0054300687446648364,0.004951488410918239
2020-07-09,0.0006475564122009627,-0.0016996714496838713,-0.00549290571064495,-0.0021463563591298564,-0.005305885526355495,-0.003944765978320668,-0.005505184724613298
2020-07-10,0.0014915820343225409,0.0009656862079505439,0.005654784228842722,0.0016188094264559852,0.005385327944418927,0.004162917682377582,0.005660863768286222
2020-07-13,-0.002488722445506932,-0.0031307160403992573,-0.0031477144086698534,-0.002985110651460046,-0.003195925233835717,-0.0034974564101972858,-0.003266063389828729
2020-07-14,0.0041867127890325255,0.003639396943310011,0.006747988078124597,0.0039467659541552475,0.006614642003891572,0.006220062240375083,0.006822969698920664
2020-07-15,0.0028452626085707297,0.004980161251118765,0.008809967194518101,0.005617578520067164,0.008627722570784995,0.007303326757160113,0.008854397815446915
2020-07-16,-0.0004791483043746829,-0.0014213143371331171,-0.0020458227661917174,-0.0015737652880362834,-0.002044520218237162,-0.0022574412040365158,-0.002044315676454363
2020-07-17,0.0016387190630850765,0.0017291789520284847,0.0016595724756290442,0.0015837963526012491,0.0016928770686698517,0.0019493000099208386,0.0017088115914091532
